time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-05 00:00:00+00:00,5,2,5,5
2025-10-06 00:00:00+00:00,1,1,8,8
2025-10-07 00:00:00+00:00,2,2,14,11
2025-10-08 00:00:00+00:00,2,2,13,9
2025-10-09 00:00:00+00:00,2,1,7,7
2025-10-10 00:00:00+00:00,1,1,10,7
2025-10-11 00:00:00+00:00,0,0,22,4
2025-10-12 00:00:00+00:00,4,2,3,3
2025-10-13 00:00:00+00:00,5,4,20,9
2025-10-14 00:00:00+00:00,2,2,23,11
2025-10-15 00:00:00+00:00,1,1,18,12
2025-10-16 00:00:00+00:00,1,1,17,8
2025-10-17 00:00:00+00:00,0,0,7,7
2025-10-18 00:00:00+00:00,2,2,2,2
2025-10-19 00:00:00+00:00,3,1,4,4
2025-10-20 00:00:00+00:00,0,0,23,16
2025-10-21 00:00:00+00:00,4,4,11,8
2025-10-22 00:00:00+00:00,0,0,7,6
2025-10-23 00:00:00+00:00,0,0,18,7
2025-10-24 00:00:00+00:00,1,1,17,7
2025-10-25 00:00:00+00:00,0,0,5,3
2025-10-26 00:00:00+00:00,1,1,2,1
2025-10-27 00:00:00+00:00,1,1,19,13
2025-10-28 00:00:00+00:00,2,2,25,15
2025-10-29 00:00:00+00:00,2,2,17,12
2025-10-30 00:00:00+00:00,0,0,6,5
2025-10-31 00:00:00+00:00,1,1,13,6
2025-11-01 00:00:00+00:00,0,0,4,4
2025-11-02 00:00:00+00:00,0,0,2,2
2025-11-03 00:00:00+00:00,5,3,22,9
2025-11-04 00:00:00+00:00,1,1,26,17
2025-11-05 00:00:00+00:00,0,0,18,12
2025-11-06 00:00:00+00:00,6,4,31,15
2025-11-07 00:00:00+00:00,1,1,26,17
2025-11-08 00:00:00+00:00,1,1,3,3
2025-11-09 00:00:00+00:00,0,0,8,6
2025-11-10 00:00:00+00:00,0,0,16,10
2025-11-11 00:00:00+00:00,0,0,4,2
2025-11-12 00:00:00+00:00,1,1,19,11
2025-11-13 00:00:00+00:00,0,0,31,18
2025-11-14 00:00:00+00:00,1,1,32,6
2025-11-15 00:00:00+00:00,0,0,7,4
2025-11-16 00:00:00+00:00,1,1,2,2
2025-11-17 00:00:00+00:00,0,0,9,7
2025-11-18 00:00:00+00:00,0,0,8,7
2025-11-19 00:00:00+00:00,1,1,19,9
2025-11-20 00:00:00+00:00,2,2,8,7
2025-11-21 00:00:00+00:00,0,0,10,8
2025-11-22 00:00:00+00:00,1,1,4,4
2025-11-23 00:00:00+00:00,0,0,2,2
2025-11-24 00:00:00+00:00,3,3,21,13
2025-11-25 00:00:00+00:00,1,1,7,5
2025-11-26 00:00:00+00:00,1,1,6,6
2025-11-27 00:00:00+00:00,10,9,2,2
2025-11-28 00:00:00+00:00,4,3,22,9
2025-11-29 00:00:00+00:00,31,17,16,8
2025-11-30 00:00:00+00:00,2,2,17,1
2025-12-01 00:00:00+00:00,13,12,9,7
2025-12-02 00:00:00+00:00,3,3,31,9
2025-12-03 00:00:00+00:00,13,11,52,23
2025-12-04 00:00:00+00:00,0,0,22,11
2025-12-05 00:00:00+00:00,4,4,17,7
2025-12-06 00:00:00+00:00,1,1,4,4
2025-12-07 00:00:00+00:00,1,1,0,0
2025-12-08 00:00:00+00:00,2,2,11,7
2025-12-09 00:00:00+00:00,5,3,10,10
2025-12-10 00:00:00+00:00,1,1,8,6
2025-12-11 00:00:00+00:00,0,0,17,11
2025-12-12 00:00:00+00:00,1,1,19,5
2025-12-13 00:00:00+00:00,1,1,2,2
2025-12-14 00:00:00+00:00,1,1,2,2
2025-12-15 00:00:00+00:00,0,0,26,13
2025-12-16 00:00:00+00:00,1,1,9,8
2025-12-17 00:00:00+00:00,2,2,16,10
2025-12-18 00:00:00+00:00,0,0,28,12
2025-12-19 00:00:00+00:00,1,1,5,4
2025-12-20 00:00:00+00:00,1,1,4,4
2025-12-21 00:00:00+00:00,2,1,4,3
2025-12-22 00:00:00+00:00,0,0,8,7
2025-12-23 00:00:00+00:00,0,0,18,9
2025-12-24 00:00:00+00:00,0,0,3,2
2025-12-25 00:00:00+00:00,1,1,1,1
2025-12-26 00:00:00+00:00,1,1,4,3
2025-12-27 00:00:00+00:00,0,0,1,1
2025-12-28 00:00:00+00:00,1,1,3,2
2025-12-29 00:00:00+00:00,0,0,6,6
2025-12-30 00:00:00+00:00,3,3,3,3
2025-12-31 00:00:00+00:00,4,3,34,5
2026-01-01 00:00:00+00:00,0,0,8,4
2026-01-02 00:00:00+00:00,2,2,4,4
2026-01-03 00:00:00+00:00,0,0,20,7
2026-01-04 00:00:00+00:00,0,0,6,5
2026-01-05 00:00:00+00:00,3,3,15,10
2026-01-06 00:00:00+00:00,2,2,15,8
2026-01-07 00:00:00+00:00,0,0,16,9
2026-01-08 00:00:00+00:00,0,0,10,9
2026-01-09 00:00:00+00:00,0,0,49,19
2026-01-10 00:00:00+00:00,0,0,11,4
2026-01-11 00:00:00+00:00,0,0,8,5
2026-01-12 00:00:00+00:00,0,0,13,9
2026-01-13 00:00:00+00:00,1,1,16,9
2026-01-14 00:00:00+00:00,1,1,18,13
2026-01-15 00:00:00+00:00,1,1,19,13
2026-01-16 00:00:00+00:00,2,2,20,13
2026-01-17 00:00:00+00:00,2,2,5,5
2026-01-18 00:00:00+00:00,0,0,7,2
2026-01-19 00:00:00+00:00,1,1,22,12
